id, latitude, longitude, comm
15990623,40.7589439677,-73.9646636739,0
15478574,40.8011542591,-73.9397554316,13
1026702,40.6786456822,-73.9802135016,61
855549,40.7927935073,-73.9713125253,0
8285992,40.7282372039,-73.9754320729,5
4464402,40.7325385778,-73.9932879062,6
14274844,40.7983438854,-73.9494772402,0
16224237,40.8448322101,-73.9420925591,4
8549106,40.7178495006,-73.9565411285,13
12077177,40.7235336587,-73.9840993858,4
7823546,40.7086550807,-73.9412241233,8
4089492,40.7079420426,-73.9216764149,0
14087040,40.7800259623,-73.9813093527,0
4824146,40.7009243096,-73.9294523735,2
6660330,40.7360780575,-74.0003874076,0
64672,40.7162618233,-73.9598287217,0
14554709,40.7160892474,-73.9408701634,0
12417189,40.7655532531,-73.9145826861,23
9693107,40.6813781118,-73.9574306842,7
11916587,40.7668423459,-73.955802979,4
13354368,40.7314907564,-73.9888494958,0
15479199,40.6983621301,-73.9350376098,4
688722,40.699502599,-73.9451284739,6
15064512,40.7349917496,-73.9925414778,29
562098,40.8071509068,-73.952440394,0
9504657,40.7887870037,-73.9419000955,12
2546851,40.716753386,-73.9869830946,0
15219384,40.7781773313,-73.9821736479,1
11862411,40.7824497486,-73.9462143178,6
16009527,40.8236884658,-73.9533898827,11
3568596,40.8362047815,-73.9403326105,0
3792227,40.7105488634,-73.9671530869,0
12650157,40.7154609295,-73.940976464,0
15943090,40.6896882501,-73.9540152524,11
14374894,40.6976530306,-73.9321047769,5
144428,40.754442615,-73.9690668791,13
7548503,40.7107300343,-73.9530085742,3
9624177,40.709833224,-73.9649448625,1
15788312,40.7000620563,-73.9538842131,3
23265,40.7710439613,-73.9562854492,6
15216352,40.79777826,-73.9614300786,11
12304468,40.8184465822,-73.9386765906,24
11441138,40.7796961379,-73.9796330987,14
23269,40.7730694116,-73.9559305234,0
1256556,40.7215187119,-73.9897310037,8
4513084,40.8262371494,-73.9452718784,1
16196396,40.7602494865,-73.9194843949,0
15943545,40.7067417921,-73.9397892743,1
5520934,40.713197535,-73.9599256345,1
763956,40.7321961162,-73.9894885068,0
7986666,40.7193887056,-73.9435584884,0
3772256,40.7651401634,-73.9805754105,4
9629899,40.8236851962,-73.954387568,17
4855303,40.7379682393,-74.0008841389,5
3984741,40.8014483105,-73.9449239758,1
6362684,40.7493625544,-73.9915939417,0
10404454,40.6813471036,-73.9473217755,5
13909621,40.8080598807,-73.9472441732,4
15842028,40.7825330736,-73.9586986102,14
862890,40.8508135723,-73.9311830887,8
5857673,40.7860147161,-73.9518603768,8
405025,40.7545285002,-73.9337679423,0
10449964,40.8378791739,-73.9466770259,24
14155748,40.824968297,-73.9510641013,31
11060749,40.7628115283,-73.9054602478,36
4485442,40.7942136391,-73.9466523739,1
402037,40.8019166982,-73.9582735313,0
8865020,40.7638540041,-73.9821235451,0
15939000,40.7259417559,-73.9905240469,61
1238433,40.6619478288,-73.9571448991,29
3809394,40.7403551336,-73.9797377684,8
11375631,40.769497562,-73.9532008739,24
247667,40.7223595384,-74.0017221004,0
61470,40.813029357,-73.9449422948,3
7512811,40.7088428629,-73.9574162175,14
14522987,40.6916308892,-73.9225874817,0
14840822,40.7501503604,-73.9708223126,0
14428262,40.7826492679,-73.9769536799,0
13127985,40.7728345819,-73.9236666403,0
3654510,40.7869777733,-73.9440035732,61
14320291,40.7925469853,-73.9398514159,29
6071651,40.7486144943,-74.0012918893,0
9394266,40.7508847883,-73.9995133417,0
11320246,40.7215185173,-73.9799875428,1
9625399,40.7200090243,-73.9889340425,0
3286955,40.7722531177,-73.9544326967,14
4476253,40.7820374363,-73.9762417606,14
358565,40.713858027,-73.960905073,0
4235201,40.7997443351,-73.953895801,4
14196139,40.6836706599,-73.920768013,31
6033498,40.6848947241,-73.919039404,1
820225,40.7816253537,-73.9497968541,25
15053365,40.8143341831,-73.9474797276,0
9380474,40.7143855642,-73.9625612201,0
15406608,40.783161228,-73.9546880233,5
5054,40.7655085919,-73.986312802,34
15938757,40.7202444004,-73.9791440437,34
14691805,40.6889535425,-73.9214643916,21
4308991,40.7260681753,-73.988665609,29
8190219,40.6769670898,-73.9706938942,4
9334228,40.726947533,-73.990116549,0
10475047,40.698079144,-73.931737523,23
12566413,40.7144312709,-73.9629024225,0
6000868,40.6795452164,-73.9466156368,1
7920394,40.7252142457,-74.0021296277,0
15206607,40.7529385334,-73.971904726,13
3533777,40.82233174,-73.937792509,14
4886678,40.7241837287,-73.9475705724,6
7087549,40.7776977275,-73.9896009155,8
13560331,40.7196539574,-73.9820761534,5
8214370,40.8100561317,-73.9448140156,2
11875312,40.8283007527,-73.9421735015,4
10226431,40.7569537072,-73.9674018109,3
1804505,40.7833647558,-73.9745599739,0
14972714,40.8231563811,-73.9447814149,4
12562244,40.6568311408,-73.9574114977,17
524111,40.7291460146,-73.9801925505,0
15484080,40.8144304379,-73.9612084492,29
10263516,40.7180771261,-73.9910217655,0
16016074,40.7621706626,-73.9997375336,13
12783457,40.7512647468,-74.003105255,4
7761394,40.6864688176,-73.9249440717,25
871079,40.8204202911,-73.9579815169,1
10765309,40.7330288854,-74.0011822577,4
18764,40.7115398392,-73.9611196545,4
5389907,40.7636021088,-73.9260034909,4
13186778,40.8034966897,-73.9700358973,1
14881794,40.812306369,-73.9585773922,17
15286307,40.6798971418,-73.9057624311,4
10641378,40.7617774266,-73.9904888791,23
4665192,40.7394069842,-74.0006724291,0
15511681,40.7734408603,-73.949108144,18
9859861,40.6712875455,-73.9873872432,1
1892319,40.7479342185,-74.0069143954,6
3383662,40.7088484736,-74.001996248,7
10102377,40.8002499375,-73.959544007,34
7997058,40.7550077731,-73.9990059274,6
4412012,40.7782779321,-73.9462907575,6
3944737,40.6969457928,-73.9323668437,6
11974165,40.7475091,-73.9891042622,11
2130489,40.7293245962,-73.9785789954,1
15702021,40.6860208204,-73.9152162406,13
16159023,40.7672976554,-73.9843567411,14
9607920,40.6962782394,-73.9501708991,29
10827434,40.672862592,-73.9434543392,14
2710442,40.7066589652,-73.9506014059,4
9953131,40.8165714806,-73.9598284585,3
13941236,40.6837365748,-73.9098769957,0
13294291,40.7173615567,-73.9526258547,8
5600260,40.7291776886,-73.9988194924,0
2069779,40.7066930442,-74.0021448421,8
12290042,40.7631620338,-73.9909870314,0
6076686,40.7434915664,-74.0003223654,4
13781431,40.6945126365,-73.9819019702,13
12825346,40.6939376156,-73.9278257653,6
11490744,40.659762752,-73.9560376594,4
13016389,40.7359610376,-73.9922848457,23
10137048,40.7936953343,-73.9651960587,29
14077208,40.7723513329,-73.9900763355,3
15479592,40.7471473322,-73.9862741166,1
13668928,40.6762186438,-73.9498786674,0
11742704,40.8013667251,-73.9676481231,0
15843139,40.7774234466,-73.9783966083,6
1634856,40.7199305466,-73.9608425651,4
833519,40.8512278143,-73.9322285359,13
10118922,40.7374583802,-73.9986341778,3
15802587,40.7169718352,-73.9497749689,0
9024874,40.7232006489,-73.9856067271,6
9841287,40.7708532359,-73.9505534034,0
11514339,40.6670282091,-73.9560608904,4
746983,40.8116087485,-73.9404646299,25
6212742,40.7582260124,-73.9298157779,1
13141637,40.7640618947,-73.9098546636,5
5805319,40.7136699935,-73.9852400634,4
11046801,40.7334991778,-73.958758087,0
1809827,40.804177621,-73.9630846927,14
15449530,40.6743861478,-73.940268594,14
14507274,40.7265239046,-73.9793782888,3
9827188,40.7136843379,-73.9637599168,1
10585745,40.804842628,-73.9478677208,4
6582560,40.7403408212,-73.9993314933,1
4816020,40.6734256217,-73.9579160322,23
7379929,40.7242309291,-73.9901340035,0
10679740,40.7150721437,-73.9409307445,0
489086,40.7004025152,-73.9271223308,8
1966407,40.7661257949,-73.9780806296,0
12248960,40.7114535913,-73.9622373337,2
666676,40.8251524119,-73.9513411337,0
6252815,40.6693564136,-73.981163188,0
8983609,40.6726655622,-73.9553293857,3
6001901,40.8349313834,-73.9469890328,8
9698678,40.6820303423,-73.9212568273,5
15434067,40.8114219159,-73.9422662299,19
12851607,40.8012867635,-73.966111158,8
14137077,40.7082613843,-73.9518398098,0
8917920,40.6942286592,-73.9130519273,24
9022972,40.6996712093,-73.9215927754,21
6822535,40.6594762553,-73.9620434781,26
6839938,40.7711152759,-73.9494412281,6
3441930,40.7584154435,-73.9938949178,13
1830244,40.6813468579,-73.9046022671,41
9616107,40.8445871468,-73.9429867439,4
4589307,40.7716330891,-73.960953187,1
15559718,40.6891076821,-73.9668311709,4
3775379,40.6726249282,-73.9654205509,6
64000,40.7069013607,-73.9546698904,0
10058036,40.7272482744,-73.9880783865,13
9116752,40.7084198362,-73.9208030838,0
12253809,40.8528006687,-73.9411448972,3
7054824,40.7348870333,-74.0018165112,0
215172,40.826755246,-73.9481346946,4
15545195,40.7238062159,-73.9896147264,4
5757628,40.7584747948,-73.9697744819,26
8517554,40.7203025893,-73.9552528372,0
11460366,40.7422285437,-74.000236616,5
12403255,40.7919488971,-73.9743433278,11
15467171,40.8236999732,-73.9530319459,5
12403252,40.8073531724,-73.9475595278,5
15374796,40.8008838108,-73.9619448166,24
4718314,40.6789326366,-73.9523621864,5
15215480,40.7363279952,-73.9998802314,0
9954585,40.7110357351,-73.9628693684,1
15204104,40.7006008962,-73.9397963479,14
9900120,40.818495954,-73.9442020938,25
510264,40.6971476288,-73.975966517,32
7070947,40.7181269893,-73.9966521264,0
13894207,40.7098442841,-73.949920032,0
11699143,40.6934330771,-73.9234360618,1
3914832,40.7767225414,-73.9550233153,11
10459429,40.8170810509,-73.9398877536,0
10135531,40.7762210694,-73.9522486793,18
13725947,40.6799186967,-73.9590156619,4
11847924,40.6835008078,-73.9328206313,13
4396142,40.7522712145,-73.9501202229,24
13784458,40.7992128946,-73.9474927613,7
11842735,40.6890034469,-73.9524122114,31
1183106,40.7113262031,-73.952203205,0
7881928,40.795948624,-73.9698119326,8
14885355,40.6924686316,-73.9486780144,1
6303754,40.7152270385,-73.9872831183,1
5383235,40.7069551137,-73.920443652,0
767397,40.8192214379,-73.9416081126,4
16194421,40.7155041264,-73.9919810061,1
8454042,40.6872882902,-73.9208589092,11
1764106,40.7721174705,-73.9466075822,35
4287780,40.7080028585,-73.9199379671,7
13020187,40.7856441814,-73.9745659254,0
15423435,40.795452871,-73.9451481768,0
4395490,40.7658088213,-73.9564999611,24
6505927,40.6899704652,-73.9420501028,0
6913431,40.685123601,-73.95767033,34
1156977,40.6996049512,-73.9294976195,5
6337031,40.7596600434,-73.9884315462,5
14967881,40.764037789,-73.9662768368,1
7321054,40.7550786307,-73.9291763349,5
13546425,40.6829022376,-73.9393512727,8
1029482,40.7234584932,-73.9790706721,4
14824492,40.7131050688,-73.9544840362,17
466277,40.7110985382,-73.9464339399,8
6614486,40.6912663242,-73.9097710876,4
10496558,40.7771858741,-73.954311054,0
9050105,40.662890763,-73.9617537402,4
10069781,40.7570297881,-73.9721686311,32
12321473,40.7306447065,-73.9993735958,34
14008708,40.7323225952,-74.0047344051,0
9111561,40.7942282112,-73.9421410987,8
14945585,40.6925093852,-73.924782825,1
7872983,40.7635944509,-73.9906830068,34
13696523,40.7654268745,-73.991228041,0
16109696,40.7504411287,-73.9911105939,0
812695,40.6694772868,-73.9847712355,6
7708956,40.6917435101,-73.9409176089,21
13251558,40.8215841027,-73.938243476,6
4874206,40.7224274127,-73.9896211272,1
15547268,40.7315660256,-73.9559461448,1
9679720,40.7073797349,-73.9423586806,0
14108669,40.7631685268,-73.9898740922,0
6706381,40.759439665,-73.9204904409,0
4053249,40.6843635985,-73.9622286449,13
6835487,40.7196574719,-73.9816626992,5
529340,40.7173548704,-73.9427234902,0
4874519,40.7025300439,-73.9188945316,8
12882920,40.7254409316,-73.9846929018,0
9280872,40.6616179557,-73.9600094336,24
16183683,40.7304237448,-73.9914172616,0
12568741,40.7343202888,-73.9972033308,0
6238784,40.6845545771,-73.9342700729,1
5720988,40.7327054571,-74.0054505039,3
6908178,40.7321100362,-73.9878153439,26
594732,40.7347369118,-73.9952728719,4
9858966,40.8058322131,-73.962267117,1
14704979,40.6887027306,-73.9140334377,1
13698589,40.692133013,-73.9443807328,14
4815028,40.8012252051,-73.9624842832,1
14104812,40.6891987695,-73.9747408108,0
8550443,40.6949961042,-73.9622054076,0
10016353,40.7183454171,-73.9913832138,0
6954288,40.8125411794,-73.9411810806,25
14732889,40.6785536775,-73.9675109627,0
6475709,40.8131381531,-73.9415790534,6
11131234,40.6796798909,-73.9450263057,26
151199,40.7572474226,-73.9109771963,4
12209944,40.6826396247,-73.9423819423,25
13226498,40.7018959114,-73.9248732786,18
15889262,40.6926961987,-73.9046869327,29
1606640,40.7751193892,-73.9895903872,0
9201694,40.7718198805,-73.9545495585,14
9786543,40.6866600282,-73.9272383533,8
280305,40.7776774727,-73.9524583193,0
27006,40.7782270223,-73.9763677443,23
8990116,40.7086154499,-73.9543245996,25
12758216,40.7849146929,-73.9744745283,8
15042309,40.6913436205,-73.9710009556,7
